Continent,Country,Name,Email,Website
AFRICA,Algeria,T.P.S. SARL Tractor Parts Services,tps-algeria@tps-algeria.com,
AFRICA,Angola,"Movicortes Angola - Equipamentos & Serviços, Lda",geral.movicortesangola@movicortes.pt,
AFRICA,Benin,Tracto-Lena – Maquinas E Camioes S.A,martin.bataille@tracto-lena.com,
AFRICA,Botswana,Turbo (Pty) Ltd t/a Parts Sales Botswana,mike@partssales.co.bw,
AFRICA,Botswana,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,Burkina Faso,Tracto-Lena – Maquinas E Camioes S.A,martin.bataille@tracto-lena.com,
AFRICA,Burundi,Rock Plant Uganda Ltd,pritpal@rock-plant.com,
AFRICA,Cameroon,Tracto-Lena – Maquinas E Camioes S.A,martin.bataille@tracto-lena.com,
AFRICA,Canary Islands,EMSA Maquinaria y Proyectos S.L.,comercial@grupoemsa.es,
AFRICA,Canary Islands,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Democratic Republic of Congo,MOVITER - Equipamentos Lda.,nuno.santana@movicortes.pt,
AFRICA,Djibouti,Moenco,abeya@moenco.com.et,
AFRICA,Djibouti,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Djibouti,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Equatorial Guinea,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Equatorial Guinea,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Equatorial Guinea,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Equatorial Guinea,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Equatorial Guinea,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Equatorial Guinea,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Ethiopia,Moenco,abeya@moenco.com.et,
AFRICA,Ethiopia,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Ethiopia,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Gabon,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Gabon,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Gabon,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Gabon,KLEEMANN GmbH,Markus.Krill@kleemann.info,
